,strain,pool
2292,leaf_6229,test
2293,leaf_3765,test
2294,leaf_13643,test
2295,leaf_11430,test
2296,leaf_9044,test
2297,leaf_22203,test
2298,leaf_11239,test
2299,leaf_20735,test
2300,leaf_22693,test
2301,leaf_2681,test
2302,leaf_4217,test
2303,leaf_22337,test
2304,leaf_10926,test
2305,leaf_19608,test
2306,leaf_18025,test
2307,leaf_2235,test
2308,leaf_18024,test
2309,leaf_2660,test
2310,leaf_11807,test
2311,leaf_10948,test
2312,leaf_9776,test
2313,leaf_4372,test
2314,leaf_10257,test
2315,leaf_6767,test
2316,leaf_4331,test
2317,leaf_7028,test
2318,leaf_10788,test
2319,leaf_4016,test
2320,leaf_17514,test
2321,leaf_7469,test
2322,leaf_19996,test
2323,leaf_15963,test
2324,leaf_7920,test
2325,leaf_4444,test
2326,leaf_2800,test
2327,leaf_21205,test
2328,leaf_3884,test
2329,leaf_3608,test
2330,leaf_4789,test
2331,leaf_5256,test
2332,leaf_9744,test
2333,leaf_2364,test
2334,leaf_8083,test
2335,leaf_5112,test
2336,leaf_15961,test
2337,leaf_328,test
2338,leaf_12174,test
2339,leaf_21884,test
2340,leaf_3678,test
2341,leaf_16196,test
2342,leaf_656,test
2343,leaf_4767,test
2344,leaf_4003,test
2345,leaf_13086,test
2346,leaf_6337,test
2347,leaf_1325,test
2348,leaf_5859,test
2349,leaf_16870,test
2350,leaf_16386,test
2351,leaf_10173,test
2352,leaf_11145,test
2353,leaf_10690,test
2354,leaf_5266,test
2355,leaf_10378,test
2356,leaf_16246,test
2357,leaf_20159,test
2358,leaf_18091,test
2359,leaf_14146,test
2360,leaf_8273,test
2361,leaf_16961,test
2362,leaf_2521,test
2363,leaf_17536,test
2364,leaf_13673,test
2365,leaf_5257,test
2366,leaf_369,test
2367,leaf_15573,test
2368,leaf_1854,test
2369,leaf_14700,test
2370,leaf_11596,test
2371,leaf_6703,test
2372,leaf_13033,test
2373,leaf_3084,test
2374,leaf_2162,test
2375,leaf_15517,test
2376,leaf_6482,test
2377,leaf_684,test
2378,leaf_2806,test
2379,leaf_6809,test
2380,leaf_1078,test
2381,leaf_10849,test
2382,leaf_7803,test
2383,leaf_14736,test
2384,leaf_13175,test
2385,leaf_13183,test
2386,leaf_16700,test
2387,leaf_22935,test
2388,leaf_18385,test
2389,leaf_4230,test
2390,leaf_16539,test
2391,leaf_16405,test
2392,leaf_6106,test
2393,leaf_4418,test
2394,leaf_20051,test
2395,leaf_155,test
2396,leaf_16353,test
2397,leaf_9640,test
2398,leaf_14314,test
2399,leaf_7034,test
2400,leaf_5273,test
2401,leaf_12075,test
2402,leaf_21390,test
2403,leaf_4882,test
2404,leaf_13107,test
2405,leaf_20444,test
2406,leaf_8890,test
2407,leaf_3745,test
2408,leaf_13626,test
2409,leaf_7114,test
2410,leaf_2728,test
2411,leaf_2169,test
2412,leaf_363,test
2413,leaf_15959,test
2414,leaf_15645,test
2415,leaf_9038,test
2416,leaf_22809,test
2417,leaf_518,test
2418,leaf_5111,test
2419,leaf_1813,test
2420,leaf_12781,test
2421,leaf_18547,test
2422,leaf_15869,test
2423,leaf_12988,test
2424,leaf_393,test
2425,leaf_18976,test
2426,leaf_8878,test
2427,leaf_7790,test
2428,leaf_8934,test
2429,leaf_20273,test
2430,leaf_6284,test
2431,leaf_17067,test
2432,leaf_772,test
2433,leaf_9522,test
2434,leaf_18343,test
2435,leaf_18270,test
2436,leaf_21724,test
2437,leaf_11173,test
2438,leaf_17120,test
2439,leaf_9251,test
2440,leaf_19772,test
2441,leaf_16717,test
2442,leaf_19235,test
2443,leaf_12152,test
2444,leaf_2069,test
2445,leaf_17216,test
2446,leaf_21055,test
2447,leaf_11772,test
2448,leaf_9042,test
2449,leaf_15352,test
2450,leaf_21752,test
2451,leaf_15412,test
2452,leaf_11186,test
2453,leaf_19867,test
2454,leaf_10385,test
2455,leaf_17331,test
2456,leaf_777,test
2457,leaf_7705,test
2458,leaf_10175,test
2459,leaf_15867,test
2460,leaf_2515,test
2461,leaf_7070,test
2462,leaf_14837,test
2463,leaf_7343,test
2464,leaf_5432,test
2465,leaf_4078,test
2466,leaf_4448,test
2467,leaf_7198,test
2468,leaf_16070,test
2469,leaf_13407,test
2470,leaf_4350,test
2471,leaf_13889,test
2472,leaf_4404,test
2473,leaf_10036,test
2474,leaf_14364,test
2475,leaf_17750,test
2476,leaf_5091,test
2477,leaf_10381,test
2478,leaf_11092,test
2479,leaf_21114,test
2480,leaf_3216,test
2481,leaf_15176,test
2482,leaf_18595,test
2483,leaf_15286,test
2484,leaf_4232,test
2485,leaf_13311,test
2486,leaf_8089,test
2487,leaf_22490,test
2488,leaf_3150,test
2489,leaf_7831,test
2490,leaf_4471,test
2491,leaf_14869,test
2492,leaf_19724,test
2493,leaf_22373,test
2494,leaf_6464,test
2495,leaf_22235,test
2496,leaf_11135,test
2497,leaf_15511,test
2498,leaf_3885,test
2499,leaf_12241,test
2500,leaf_21992,test
2501,leaf_17701,test
2502,leaf_15112,test
2503,leaf_4035,test
2504,leaf_14826,test
2505,leaf_347,test
2506,leaf_6416,test
2507,leaf_14513,test
2508,leaf_21649,test
2509,leaf_10696,test
2510,leaf_12663,test
2511,leaf_15883,test
2512,leaf_23064,test
2513,leaf_13122,test
2514,leaf_23012,test
2515,leaf_16453,test
2516,leaf_9359,test
2517,leaf_8140,test
2518,leaf_22679,test
2519,leaf_4363,test
2520,leaf_9955,test
2521,leaf_22266,test
2522,leaf_6323,test
2523,leaf_10834,test
2524,leaf_16510,test
2525,leaf_19173,test
2526,leaf_20672,test
2527,leaf_17054,test
2528,leaf_17630,test
2529,leaf_13959,test
2530,leaf_11009,test
2531,leaf_11139,test
2532,leaf_4788,test
2533,leaf_15435,test
2534,leaf_7053,test
2535,leaf_2101,test
2536,leaf_9254,test
2537,leaf_22300,test
2538,leaf_19820,test
2539,leaf_2259,test
2540,leaf_2881,test
2541,leaf_22766,test
2542,leaf_15128,test
2543,leaf_14963,test
2544,leaf_3452,test
2545,leaf_19982,test
2546,leaf_6411,test
2547,leaf_10962,test
2548,leaf_16745,test
2549,leaf_21997,test
2550,leaf_2619,test
2551,leaf_9946,test
2552,leaf_6458,test
2553,leaf_14503,test
2554,leaf_13062,test
2555,leaf_2621,test
2556,leaf_17973,test
2557,leaf_18912,test
2558,leaf_602,test
2559,leaf_19127,test
2560,leaf_8330,test
2561,leaf_23046,test
2562,leaf_1633,test
2563,leaf_17483,test
2564,leaf_20127,test
2565,leaf_8248,test
2566,leaf_4566,test
2567,leaf_3060,test
2568,leaf_21728,test
2569,leaf_2768,test
2570,leaf_4219,test
2571,leaf_14201,test
2572,leaf_3045,test
2573,leaf_2704,test
2574,leaf_2928,test
2575,leaf_20458,test
2576,leaf_11356,test
2577,leaf_15794,test
2578,leaf_12296,test
2579,leaf_525,test
2580,leaf_22855,test
2581,leaf_22842,test
2582,leaf_12611,test
2583,leaf_17623,test
2584,leaf_4907,test
2585,leaf_6899,test
2586,leaf_13366,test
2587,leaf_11037,test
2588,leaf_2698,test
2589,leaf_15998,test
2590,leaf_8842,test
2591,leaf_2857,test
2592,leaf_4240,test
2593,leaf_14239,test
2594,leaf_2577,test
2595,leaf_15717,test
2596,leaf_8176,test
2597,leaf_4823,test
2598,leaf_9757,test
2599,leaf_23052,test
2600,leaf_1015,test
2601,leaf_22369,test
2602,leaf_16213,test
2603,leaf_2987,test
2604,leaf_16623,test
2605,leaf_6308,test
2606,leaf_13068,test
2607,leaf_17711,test
2608,leaf_13757,test
2609,leaf_7504,test
2610,leaf_17329,test
2611,leaf_14019,test
2612,leaf_14465,test
2613,leaf_3572,test
2614,leaf_22257,test
2615,leaf_12704,test
2616,leaf_2113,test
2617,leaf_17911,test
2618,leaf_11114,test
2619,leaf_447,test
2620,leaf_9414,test
2621,leaf_2459,test
2622,leaf_20456,test
2623,leaf_7839,test
2624,leaf_22222,test
2625,leaf_12634,test
2626,leaf_3377,test
2627,leaf_7499,test
2628,leaf_22828,test
2629,leaf_2019,test
2630,leaf_21900,test
2631,leaf_5614,test
2632,leaf_19212,test
2633,leaf_11158,test
2634,leaf_13446,test
2635,leaf_18510,test
2636,leaf_15205,test
2637,leaf_18238,test
2638,leaf_8997,test
2639,leaf_4709,test
2640,leaf_20977,test
2641,leaf_21372,test
2642,leaf_23079,test
2643,leaf_17987,test
2644,leaf_6879,test
2645,leaf_18349,test
2646,leaf_18913,test
2647,leaf_13646,test
2648,leaf_9852,test
2649,leaf_22608,test
2650,leaf_22258,test
2651,leaf_12369,test
2652,leaf_8195,test
2653,leaf_12459,test
2654,leaf_3108,test
2655,leaf_4115,test
2656,leaf_4774,test
2657,leaf_15700,test
2658,leaf_13896,test
2659,leaf_226,test
2660,leaf_7518,test
2661,leaf_19773,test
2662,leaf_15070,test
2663,leaf_15386,test
2664,leaf_4653,test
2665,leaf_20427,test
2666,leaf_3974,test
2667,leaf_17489,test
2668,leaf_10719,test
2669,leaf_11141,test
2670,leaf_5771,test
2671,leaf_4340,test
2672,leaf_5886,test
2673,leaf_20700,test
2674,leaf_3170,test
2675,leaf_22156,test
2676,leaf_17383,test
2677,leaf_16435,test
2678,leaf_17747,test
2679,leaf_2813,test
2680,leaf_22095,test
2681,leaf_16225,test
2682,leaf_11074,test
2683,leaf_13891,test
2684,leaf_9539,test
2685,leaf_7849,test
2686,leaf_18359,test
2687,leaf_1038,test
2688,leaf_4994,test
2689,leaf_20391,test
2690,leaf_11509,test
2691,leaf_13893,test
2692,leaf_22510,test
2693,leaf_1702,test
2694,leaf_9678,test
2695,leaf_17946,test
2696,leaf_12499,test
2697,leaf_13878,test
2698,leaf_15773,test
2699,leaf_12683,test
2700,leaf_10063,test
2701,leaf_11874,test
2702,leaf_22583,test
2703,leaf_2858,test
2704,leaf_16556,test
2705,leaf_1890,test
2706,leaf_21264,test
2707,leaf_15924,test
2708,leaf_5511,test
2709,leaf_13675,test
2710,leaf_2153,test
2711,leaf_5321,test
2712,leaf_10221,test
2713,leaf_2538,test
2714,leaf_2168,test
2715,leaf_20471,test
2716,leaf_18782,test
2717,leaf_20258,test
2718,leaf_16026,test
2719,leaf_1091,test
2720,leaf_10494,test
2721,leaf_15395,test
2722,leaf_18868,test
2723,leaf_2343,test
2724,leaf_9969,test
2725,leaf_20998,test
2726,leaf_553,test
2727,leaf_120,test
2728,leaf_10846,test
2729,leaf_17252,test
2730,leaf_19032,test
2731,leaf_2865,test
2732,leaf_10177,test
2733,leaf_17903,test
2734,leaf_1589,test
2735,leaf_4056,test
2736,leaf_11082,test
2737,leaf_558,test
2738,leaf_14438,test
2739,leaf_10910,test
2740,leaf_3578,test
2741,leaf_16593,test
2742,leaf_22996,test
2743,leaf_12690,test
2744,leaf_22728,test
2745,leaf_10602,test
2746,leaf_10921,test
2747,leaf_4282,test
2748,leaf_20644,test
2749,leaf_9307,test
2750,leaf_7841,test
2751,leaf_4136,test
2752,leaf_8642,test
2753,leaf_22080,test
2754,leaf_1001,test
2755,leaf_22794,test
2756,leaf_11219,test
2757,leaf_18133,test
2758,leaf_15919,test
2759,leaf_15710,test
2760,leaf_21263,test
2761,leaf_1588,test
2762,leaf_16986,test
2763,leaf_12428,test
2764,leaf_1277,test
2765,leaf_9870,test
2766,leaf_2972,test
2767,leaf_14003,test
2768,leaf_1923,test
2769,leaf_16465,test
2770,leaf_4613,test
2771,leaf_8112,test
2772,leaf_2371,test
2773,leaf_15333,test
2774,leaf_14857,test
2775,leaf_4766,test
2776,leaf_11672,test
2777,leaf_14449,test
2778,leaf_5398,test
2779,leaf_3145,test
2780,leaf_12197,test
2781,leaf_18149,test
2782,leaf_6990,test
2783,leaf_18528,test
2784,leaf_20652,test
2785,leaf_5639,test
2786,leaf_12094,test
2787,leaf_18405,test
2788,leaf_12114,test
2789,leaf_20324,test
2790,leaf_2373,test
2791,leaf_4776,test
2792,leaf_13602,test
2793,leaf_18869,test
2794,leaf_4042,test
2795,leaf_4749,test
2796,leaf_2124,test
2797,leaf_5345,test
2798,leaf_1505,test
2799,leaf_8312,test
2800,leaf_21097,test
2801,leaf_977,test
2802,leaf_1196,test
2803,leaf_11666,test
2804,leaf_11252,test
2805,leaf_10631,test
2806,leaf_12491,test
2807,leaf_8444,test
2808,leaf_21105,test
2809,leaf_16943,test
2810,leaf_6831,test
2811,leaf_17136,test
2812,leaf_5717,test
2813,leaf_11664,test
2814,leaf_15913,test
2815,leaf_18904,test
2816,leaf_10431,test
2817,leaf_8196,test
2818,leaf_19231,test
2819,leaf_13342,test
2820,leaf_12135,test
2821,leaf_13031,test
2822,leaf_4658,test
2823,leaf_773,test
2824,leaf_9750,test
2825,leaf_12790,test
2826,leaf_13685,test
2827,leaf_2551,test
2828,leaf_2092,test
2829,leaf_17420,test
2830,leaf_3585,test
2831,leaf_16368,test
2832,leaf_13048,test
2833,leaf_11779,test
2834,leaf_21249,test
2835,leaf_5196,test
2836,leaf_12724,test
2837,leaf_22024,test
2838,leaf_4280,test
2839,leaf_8132,test
2840,leaf_19451,test
2841,leaf_11449,test
2842,leaf_18098,test
2843,leaf_19056,test
2844,leaf_12965,test
2845,leaf_3676,test
2846,leaf_10778,test
2847,leaf_14035,test
2848,leaf_15823,test
2849,leaf_22556,test
2850,leaf_4985,test
2851,leaf_9512,test
2852,leaf_1225,test
2853,leaf_12680,test
2854,leaf_20852,test
2855,leaf_3328,test
2856,leaf_18380,test
2857,leaf_9021,test
2858,leaf_3483,test
2859,leaf_6273,test
2860,leaf_12742,test
2861,leaf_12016,test
2862,leaf_22447,test
2863,leaf_14341,test
2864,leaf_1583,test
2865,leaf_7088,test
2866,leaf_20012,test
2867,leaf_22692,test
2868,leaf_10386,test
2869,leaf_19190,test
2870,leaf_13049,test
2871,leaf_21,test
2872,leaf_22322,test
2873,leaf_2463,test
2874,leaf_12323,test
2875,leaf_18013,test
2876,leaf_15632,test
2877,leaf_19889,test
2878,leaf_14562,test
2879,leaf_3824,test
2880,leaf_7910,test
2881,leaf_18673,test
2882,leaf_16967,test
2883,leaf_8341,test
2884,leaf_3652,test
2885,leaf_16579,test
2886,leaf_19674,test
2887,leaf_11084,test
2888,leaf_1251,test
2889,leaf_22604,test
2890,leaf_15541,test
2891,leaf_6500,test
2892,leaf_13871,test
2893,leaf_12552,test
2894,leaf_14870,test
2895,leaf_12762,test
2896,leaf_14847,test
2897,leaf_18560,test
2898,leaf_9455,test
2899,leaf_9491,test
2900,leaf_10010,test
2901,leaf_11702,test
2902,leaf_19715,test
2903,leaf_8158,test
2904,leaf_9593,test
2905,leaf_15077,test
2906,leaf_4778,test
2907,leaf_3289,test
2908,leaf_14204,test
2909,leaf_21353,test
2910,leaf_14372,test
2911,leaf_1947,test
2912,leaf_4697,test
2913,leaf_10029,test
2914,leaf_20520,test
2915,leaf_12925,test
2916,leaf_15668,test
2917,leaf_4509,test
2918,leaf_2580,test
2919,leaf_5728,test
2920,leaf_4450,test
2921,leaf_11345,test
2922,leaf_17788,test
2923,leaf_13221,test
2924,leaf_929,test
2925,leaf_8152,test
2926,leaf_6971,test
2927,leaf_7959,test
2928,leaf_21117,test
2929,leaf_10879,test
2930,leaf_20884,test
2931,leaf_8804,test
2932,leaf_1582,test
2933,leaf_14362,test
2934,leaf_16364,test
2935,leaf_22699,test
2936,leaf_19149,test
2937,leaf_16697,test
2938,leaf_18094,test
2939,leaf_22067,test
2940,leaf_5649,test
2941,leaf_19223,test
2942,leaf_2967,test
2943,leaf_8759,test
2944,leaf_12007,test
2945,leaf_8536,test
2946,leaf_18536,test
2947,leaf_429,test
2948,leaf_3845,test
2949,leaf_1394,test
2950,leaf_18265,test
2951,leaf_5146,test
2952,leaf_8894,test
2953,leaf_8917,test
2954,leaf_17036,test
2955,leaf_8197,test
2956,leaf_8031,test
2957,leaf_1937,test
2958,leaf_9871,test
2959,leaf_2488,test
2960,leaf_17990,test
2961,leaf_16819,test
2962,leaf_2494,test
2963,leaf_10174,test
2964,leaf_3294,test
2965,leaf_12468,test
2966,leaf_18738,test
2967,leaf_5169,test
2968,leaf_8634,test
2969,leaf_3711,test
2970,leaf_7418,test
2971,leaf_14422,test
2972,leaf_10264,test
2973,leaf_17038,test
2974,leaf_19176,test
2975,leaf_5484,test
2976,leaf_16887,test
2977,leaf_21261,test
2978,leaf_18875,test
2979,leaf_9890,test
2980,leaf_279,test
2981,leaf_3921,test
2982,leaf_131,test
2983,leaf_18312,test
2984,leaf_21852,test
2985,leaf_13004,test
2986,leaf_21478,test
2987,leaf_12335,test
2988,leaf_15442,test
2989,leaf_12505,test
2990,leaf_20417,test
2991,leaf_10535,test
2992,leaf_16580,test
2993,leaf_22112,test
2994,leaf_3980,test
2995,leaf_1216,test
2996,leaf_12906,test
2997,leaf_20217,test
2998,leaf_18823,test
2999,leaf_12080,test
3000,leaf_10209,test
3001,leaf_7151,test
3002,leaf_18306,test
3003,leaf_18286,test
3004,leaf_22211,test
3005,leaf_3667,test
3006,leaf_12952,test
3007,leaf_8690,test
3008,leaf_14380,test
3009,leaf_18938,test
3010,leaf_17580,test
3011,leaf_14167,test
3012,leaf_13471,test
3013,leaf_19659,test
3014,leaf_10222,test
3015,leaf_20929,test
3016,leaf_21131,test
3017,leaf_15900,test
3018,leaf_10256,test
3019,leaf_13482,test
3020,leaf_20298,test
3021,leaf_5173,test
3022,leaf_19779,test
3023,leaf_14145,test
3024,leaf_13990,test
3025,leaf_21646,test
3026,leaf_20888,test
3027,leaf_16041,test
3028,leaf_8415,test
3029,leaf_12148,test
3030,leaf_15328,test
3031,leaf_11706,test
3032,leaf_2128,test
3033,leaf_18890,test
3034,leaf_9066,test
3035,leaf_14861,test
3036,leaf_15521,test
3037,leaf_11798,test
3038,leaf_6089,test
3039,leaf_19466,test
3040,leaf_5756,test
3041,leaf_8230,test
3042,leaf_18790,test
3043,leaf_2176,test
3044,leaf_2994,test
3045,leaf_17551,test
3046,leaf_13803,test
3047,leaf_20942,test
3048,leaf_14280,test
3049,leaf_3774,test
3050,leaf_10212,test
3051,leaf_22217,test
3052,leaf_4562,test
3053,leaf_8362,test
3054,leaf_5788,test
3055,leaf_10947,test
3056,leaf_22148,test
3057,leaf_18633,test
3058,leaf_6439,test
3059,leaf_17603,test
3060,leaf_15403,test
3061,leaf_7024,test
3062,leaf_13761,test
3063,leaf_20147,test
3064,leaf_4357,test
3065,leaf_7988,test
3066,leaf_11879,test
3067,leaf_8521,test
3068,leaf_9125,test
3069,leaf_3286,test
3070,leaf_11254,test
3071,leaf_4849,test
3072,leaf_2741,test
3073,leaf_70,test
3074,leaf_18535,test
3075,leaf_21077,test
3076,leaf_17458,test
3077,leaf_20656,test
3078,leaf_12230,test
3079,leaf_16723,test
3080,leaf_10313,test
3081,leaf_3302,test
3082,leaf_8908,test
3083,leaf_11140,test
3084,leaf_19904,test
3085,leaf_3357,test
3086,leaf_12848,test
3087,leaf_1222,test
3088,leaf_13211,test
3089,leaf_15844,test
3090,leaf_19464,test
3091,leaf_11113,test
3092,leaf_343,test
3093,leaf_13716,test
3094,leaf_17318,test
3095,leaf_17894,test
3096,leaf_18814,test
3097,leaf_1202,test
3098,leaf_4784,test
3099,leaf_19145,test
3100,leaf_11852,test
3101,leaf_5444,test
3102,leaf_17940,test
3103,leaf_3835,test
3104,leaf_6072,test
3105,leaf_8566,test
3106,leaf_7298,test
3107,leaf_17785,test
3108,leaf_5426,test
3109,leaf_1492,test
3110,leaf_8283,test
3111,leaf_937,test
3112,leaf_14142,test
3113,leaf_6643,test
3114,leaf_13134,test
3115,leaf_6857,test
3116,leaf_3169,test
3117,leaf_8403,test
3118,leaf_12178,test
3119,leaf_10590,test
3120,leaf_27,test
3121,leaf_7795,test
3122,leaf_5155,test
3123,leaf_21871,test
3124,leaf_11754,test
3125,leaf_20609,test
3126,leaf_12020,test
3127,leaf_14358,test
3128,leaf_7681,test
3129,leaf_14269,test
3130,leaf_12981,test
3131,leaf_3982,test
3132,leaf_5121,test
3133,leaf_172,test
3134,leaf_20160,test
3135,leaf_11783,test
3136,leaf_16372,test
3137,leaf_6580,test
3138,leaf_479,test
3139,leaf_21282,test
3140,leaf_15491,test
3141,leaf_7683,test
3142,leaf_14076,test
3143,leaf_1617,test
3144,leaf_7892,test
3145,leaf_8979,test
3146,leaf_22615,test
3147,leaf_15688,test
3148,leaf_6980,test
3149,leaf_3583,test
3150,leaf_14478,test
3151,leaf_4236,test
3152,leaf_5624,test
3153,leaf_12083,test
3154,leaf_22854,test
3155,leaf_5908,test
3156,leaf_8453,test
3157,leaf_7223,test
3158,leaf_19850,test
3159,leaf_15890,test
3160,leaf_1350,test
3161,leaf_21659,test
3162,leaf_11194,test
3163,leaf_12584,test
3164,leaf_4741,test
3165,leaf_6328,test
3166,leaf_15955,test
3167,leaf_2904,test
3168,leaf_14279,test
3169,leaf_16850,test
3170,leaf_682,test
3171,leaf_3046,test
3172,leaf_22653,test
3173,leaf_1304,test
3174,leaf_14687,test
3175,leaf_16278,test
3176,leaf_22368,test
3177,leaf_10246,test
3178,leaf_15694,test
3179,leaf_19547,test
3180,leaf_21940,test
3181,leaf_1033,test
3182,leaf_16791,test
3183,leaf_797,test
3184,leaf_21889,test
3185,leaf_15020,test
3186,leaf_6555,test
3187,leaf_19890,test
3188,leaf_4968,test
3189,leaf_10059,test
3190,leaf_3359,test
3191,leaf_14683,test
3192,leaf_21377,test
3193,leaf_6327,test
3194,leaf_3815,test
3195,leaf_21671,test
3196,leaf_23050,test
3197,leaf_12363,test
3198,leaf_5956,test
3199,leaf_21470,test
3200,leaf_12839,test
3201,leaf_15520,test
3202,leaf_15504,test
3203,leaf_4871,test
3204,leaf_11434,test
3205,leaf_20919,test
3206,leaf_2193,test
3207,leaf_9769,test
3208,leaf_21444,test
3209,leaf_1571,test
3210,leaf_20521,test
3211,leaf_5154,test
3212,leaf_12772,test
3213,leaf_17072,test
3214,leaf_12065,test
3215,leaf_9369,test
3216,leaf_10397,test
3217,leaf_13255,test
3218,leaf_7152,test
3219,leaf_1376,test
3220,leaf_22999,test
3221,leaf_18251,test
3222,leaf_9185,test
3223,leaf_9347,test
3224,leaf_3606,test
3225,leaf_4956,test
3226,leaf_7835,test
3227,leaf_11846,test
3228,leaf_11895,test
3229,leaf_3571,test
3230,leaf_7957,test
3231,leaf_6797,test
3232,leaf_6076,test
3233,leaf_22561,test
3234,leaf_5401,test
3235,leaf_21354,test
3236,leaf_21662,test
3237,leaf_20588,test
3238,leaf_11733,test
3239,leaf_19126,test
3240,leaf_22710,test
3241,leaf_9828,test
3242,leaf_261,test
3243,leaf_15164,test
3244,leaf_17484,test
3245,leaf_1219,test
3246,leaf_2410,test
3247,leaf_4093,test
3248,leaf_1123,test
3249,leaf_18855,test
3250,leaf_10189,test
3251,leaf_11674,test
3252,leaf_16876,test
3253,leaf_6332,test
3254,leaf_2973,test
3255,leaf_8837,test
3256,leaf_10739,test
3257,leaf_4344,test
3258,leaf_21469,test
3259,leaf_19711,test
3260,leaf_1946,test
3261,leaf_1643,test
3262,leaf_22198,test
3263,leaf_19821,test
3264,leaf_11700,test
3265,leaf_2692,test
3266,leaf_538,test
3267,leaf_14904,test
3268,leaf_12577,test
3269,leaf_2441,test
3270,leaf_22487,test
3271,leaf_10554,test
3272,leaf_8714,test
3273,leaf_4912,test
3274,leaf_4854,test
3275,leaf_7614,test
3276,leaf_7089,test
3277,leaf_5878,test
3278,leaf_12788,test
3279,leaf_7158,test
3280,leaf_16543,test
3281,leaf_7431,test
3282,leaf_16992,test
3283,leaf_14098,test
3284,leaf_4198,test
3285,leaf_77,test
3286,leaf_18235,test
3287,leaf_7303,test
3288,leaf_17475,test
3289,leaf_8001,test
3290,leaf_13152,test
3291,leaf_8156,test
3292,leaf_10027,test
3293,leaf_7865,test
3294,leaf_18276,test
3295,leaf_405,test
3296,leaf_381,test
3297,leaf_21285,test
3298,leaf_3798,test
3299,leaf_20598,test
3300,leaf_2445,test
3301,leaf_425,test
3302,leaf_8193,test
3303,leaf_21525,test
3304,leaf_14732,test
3305,leaf_32,test
3306,leaf_1974,test
3307,leaf_13858,test
3308,leaf_21559,test
3309,leaf_7557,test
3310,leaf_20980,test
3311,leaf_16639,test
3312,leaf_4284,test
3313,leaf_1063,test
3314,leaf_3491,test
3315,leaf_18179,test
3316,leaf_11625,test
3317,leaf_1466,test
3318,leaf_15858,test
3319,leaf_12301,test
3320,leaf_7919,test
3321,leaf_9551,test
3322,leaf_756,test
3323,leaf_17769,test
3324,leaf_20439,test
3325,leaf_14326,test
3326,leaf_20905,test
3327,leaf_14663,test
3328,leaf_6128,test
3329,leaf_19241,test
3330,leaf_4214,test
3331,leaf_11209,test
3332,leaf_19552,test
3333,leaf_14107,test
3334,leaf_18525,test
3335,leaf_1982,test
3336,leaf_4119,test
3337,leaf_12015,test
3338,leaf_9587,test
3339,leaf_8821,test
3340,leaf_16562,test
3341,leaf_14425,test
3342,leaf_15597,test
3343,leaf_19198,test
3344,leaf_10863,test
3345,leaf_4760,test
3346,leaf_20501,test
3347,leaf_10234,test
3348,leaf_4874,test
3349,leaf_8721,test
3350,leaf_4409,test
3351,leaf_22007,test
3352,leaf_3035,test
3353,leaf_17777,test
3354,leaf_12636,test
3355,leaf_9658,test
3356,leaf_14794,test
3357,leaf_3648,test
3358,leaf_19613,test
3359,leaf_8601,test
3360,leaf_8646,test
3361,leaf_8065,test
3362,leaf_9767,test
3363,leaf_18600,test
3364,leaf_233,test
3365,leaf_1631,test
3366,leaf_449,test
3367,leaf_18082,test
3368,leaf_15602,test
3369,leaf_10564,test
3370,leaf_4989,test
3371,leaf_19774,test
3372,leaf_18975,test
3373,leaf_21135,test
3374,leaf_18248,test
3375,leaf_20996,test
3376,leaf_9235,test
3377,leaf_6958,test
3378,leaf_17692,test
3379,leaf_2306,test
3380,leaf_5503,test
3381,leaf_6947,test
3382,leaf_10814,test
3383,leaf_20537,test
3384,leaf_18697,test
3385,leaf_16149,test
3386,leaf_4798,test
3387,leaf_11153,test
3388,leaf_17820,test
3389,leaf_17567,test
3390,leaf_1127,test
3391,leaf_11428,test
3392,leaf_15564,test
3393,leaf_17986,test
3394,leaf_389,test
3395,leaf_13562,test
3396,leaf_491,test
3397,leaf_22568,test
3398,leaf_9909,test
3399,leaf_13523,test
3400,leaf_19071,test
3401,leaf_15665,test
3402,leaf_12779,test
3403,leaf_377,test
3404,leaf_17348,test
3405,leaf_8927,test
3406,leaf_846,test
3407,leaf_478,test
3408,leaf_16716,test
3409,leaf_7932,test
3410,leaf_14517,test
3411,leaf_12021,test
3412,leaf_499,test
3413,leaf_16472,test
3414,leaf_11867,test
3415,leaf_1153,test
3416,leaf_11344,test
3417,leaf_6776,test
3418,leaf_15704,test
3419,leaf_5644,test
3420,leaf_11988,test
3421,leaf_4176,test
3422,leaf_22869,test
3423,leaf_16358,test
3424,leaf_16206,test
3425,leaf_13200,test
3426,leaf_6663,test
3427,leaf_4391,test
3428,leaf_5690,test
3429,leaf_6202,test
3430,leaf_20833,test
3431,leaf_6647,test
3432,leaf_10842,test
3433,leaf_7480,test
3434,leaf_20397,test
3435,leaf_22470,test
3436,leaf_15607,test
3437,leaf_18997,test
3438,leaf_13960,test
3439,leaf_2901,test
3440,leaf_18392,test
3441,leaf_21206,test
3442,leaf_8948,test
3443,leaf_21430,test
3444,leaf_5388,test
3445,leaf_13363,test
3446,leaf_16882,test
3447,leaf_692,test
3448,leaf_16878,test
3449,leaf_16160,test
3450,leaf_6440,test
3451,leaf_4898,test
3452,leaf_15089,test
3453,leaf_2383,test
3454,leaf_11322,test
3455,leaf_10156,test
3456,leaf_6913,test
3457,leaf_3039,test
3458,leaf_14708,test
3459,leaf_16281,test
3460,leaf_16678,test
3461,leaf_2941,test
