strain	true_subgroup	date	type	subgroup
leaf_698	B	2022-07-11	Train	B
leaf_699	A	2022-07-11	Train	A
leaf_700	C	2022-07-11	Train	C
leaf_701	A	2022-07-11	Train	A
leaf_702	B	2022-07-11	Train	B
leaf_703	C	2022-07-11	Train	C
leaf_704	A	2022-07-11	Train	A
leaf_705	A	2022-07-11	Train	A
leaf_706	B	2022-07-11	Train	B
leaf_707	B	2022-07-11	Train	B
leaf_708	A	2022-07-11	Train	A
leaf_709	B	2022-07-11	Train	B
leaf_710	B	2022-07-11	Train	B
leaf_711	A	2022-07-11	Train	A
leaf_712	B	2022-07-11	Train	B
leaf_713	A	2022-07-11	Train	A
leaf_714	C	2022-07-10	Train	C
leaf_715	B	2022-07-10	Train	B
leaf_716	B	2022-07-10	Train	B
leaf_717	B	2022-07-10	Train	B
leaf_718	B	2022-07-10	Train	B
leaf_719	A	2022-07-10	Train	A
leaf_720	A	2022-07-10	Train	A
leaf_721	A	2022-07-10	Train	A
leaf_722	A	2022-07-10	Train	A
leaf_723	B	2022-07-10	Train	B
leaf_724	C	2022-07-10	Train	C
leaf_725	B	2022-07-10	Train	B
leaf_726	A	2022-07-10	Test	?
leaf_727	A	2022-07-10	Train	A
leaf_728	B	2022-07-10	Train	B
leaf_729	B	2022-07-10	Test	?
leaf_730	A	2022-07-10	Train	A
leaf_731	C	2022-07-10	Train	C
leaf_732	C	2022-07-10	Train	C
leaf_733	B	2022-07-10	Train	B
leaf_734	B	2022-07-10	Train	B
leaf_735	B	2022-07-10	Test	?
leaf_736	A	2022-07-10	Train	A
leaf_737	B	2022-07-10	Test	?
leaf_738	A	2022-07-10	Test	?
leaf_739	C	2022-07-10	Train	C
leaf_740	B	2022-07-10	Test	?
leaf_741	A	2022-07-10	Train	A
leaf_742	C	2022-07-10	Train	C
leaf_743	A	2022-07-10	Train	A
leaf_744	C	2022-07-10	Train	C
leaf_745	B	2022-07-10	Train	B
leaf_746	A	2022-07-10	Train	A
leaf_747	B	2022-07-10	Train	B
leaf_748	C	2022-07-10	Test	?
leaf_749	A	2022-07-09	Train	A
leaf_750	C	2022-07-09	Train	C
leaf_751	B	2022-07-09	Train	B
leaf_752	B	2022-07-09	Train	B
leaf_753	C	2022-07-09	Train	C
leaf_754	B	2022-07-09	Train	B
leaf_755	B	2022-07-09	Train	B
leaf_756	A	2022-07-09	Test	?
leaf_757	A	2022-07-09	Train	A
leaf_758	A	2022-07-09	Train	A
leaf_759	B	2022-07-09	Train	B
leaf_760	C	2022-07-09	Train	C
leaf_761	A	2022-07-09	Train	A
leaf_762	B	2022-07-09	Train	B
leaf_763	A	2022-07-09	Train	A
leaf_764	C	2022-07-09	Train	C
leaf_765	C	2022-07-09	Train	C
leaf_766	B	2022-07-09	Train	B
leaf_767	B	2022-07-09	Train	B
leaf_768	B	2022-07-09	Train	B
leaf_769	C	2022-07-09	Test	?
leaf_770	A	2022-07-09	Train	A
leaf_771	B	2022-07-09	Train	B
leaf_772	A	2022-07-09	Train	A
leaf_773	A	2022-07-09	Test	?
leaf_774	B	2022-07-09	Test	?
leaf_775	A	2022-07-09	Train	A
leaf_776	B	2022-07-08	Train	B
leaf_777	B	2022-07-08	Train	B
leaf_778	B	2022-07-08	Train	B
leaf_779	B	2022-07-08	Train	B
leaf_780	A	2022-07-08	Train	A
leaf_781	B	2022-07-08	Train	B
leaf_782	A	2022-07-08	Train	A
leaf_783	C	2022-07-08	Train	C
leaf_784	C	2022-07-08	Train	C
leaf_785	B	2022-07-08	Train	B
leaf_786	B	2022-07-08	Train	B
leaf_787	B	2022-07-08	Train	B
leaf_788	B	2022-07-08	Train	B
leaf_789	B	2022-07-08	Test	?
leaf_790	A	2022-07-08	Test	?
leaf_791	C	2022-07-08	Train	C
leaf_792	A	2022-07-08	Train	A
leaf_793	A	2022-07-08	Train	A
leaf_794	A	2022-07-08	Train	A
leaf_795	A	2022-07-08	Train	A
leaf_796	B	2022-07-08	Test	?
leaf_797	C	2022-07-08	Test	?
leaf_798	C	2022-07-08	Train	C
leaf_799	A	2022-07-08	Train	A
leaf_800	A	2022-07-08	Test	?
leaf_801	B	2022-07-08	Test	?
leaf_802	A	2022-07-08	Train	A
leaf_803	B	2022-07-07	Train	B
leaf_804	A	2022-07-07	Train	A
leaf_805	B	2022-07-07	Train	B
leaf_806	B	2022-07-07	Train	B
leaf_807	A	2022-07-07	Train	A
leaf_808	C	2022-07-07	Train	C
leaf_809	C	2022-07-07	Train	C
leaf_810	C	2022-07-07	Train	C
leaf_811	C	2022-07-07	Train	C
leaf_812	B	2022-07-07	Train	B
leaf_813	B	2022-07-07	Train	B
leaf_814	B	2022-07-07	Test	?
leaf_815	B	2022-07-07	Test	?
leaf_816	A	2022-07-07	Train	A
leaf_817	C	2022-07-07	Train	C
leaf_818	B	2022-07-07	Train	B
leaf_819	B	2022-07-07	Train	B
leaf_820	C	2022-07-07	Train	C
leaf_821	B	2022-07-07	Test	?
leaf_822	C	2022-07-07	Train	C
leaf_823	B	2022-07-07	Train	B
leaf_824	B	2022-07-06	Test	?
leaf_825	C	2022-07-06	Train	C
leaf_826	A	2022-07-06	Train	A
leaf_827	C	2022-07-06	Train	C
leaf_828	B	2022-07-06	Train	B
leaf_829	C	2022-07-06	Test	?
leaf_830	B	2022-07-06	Train	B
leaf_831	C	2022-07-06	Train	C
leaf_832	B	2022-07-06	Train	B
leaf_833	B	2022-07-06	Train	B
leaf_834	A	2022-07-06	Train	A
leaf_835	C	2022-07-06	Train	C
leaf_836	B	2022-07-06	Train	B
leaf_837	A	2022-07-06	Train	A
leaf_838	B	2022-07-06	Test	?
leaf_839	C	2022-07-06	Test	?
leaf_840	B	2022-07-06	Train	B
leaf_841	B	2022-07-06	Train	B
leaf_842	B	2022-07-06	Train	B
leaf_843	A	2022-07-06	Test	?
leaf_844	A	2022-07-06	Train	A
leaf_845	A	2022-07-06	Train	A
leaf_846	C	2022-07-06	Train	C
leaf_847	C	2022-07-06	Train	C
leaf_848	C	2022-07-06	Train	C
leaf_849	B	2022-07-06	Train	B
leaf_850	A	2022-07-06	Train	A
leaf_851	C	2022-07-06	Train	C
leaf_852	A	2022-07-06	Train	A
leaf_853	C	2022-07-05	Train	C
leaf_854	B	2022-07-05	Train	B
leaf_855	A	2022-07-05	Test	?
leaf_856	C	2022-07-05	Test	?
leaf_857	C	2022-07-05	Train	C
leaf_858	C	2022-07-05	Train	C
leaf_859	B	2022-07-05	Train	B
leaf_860	A	2022-07-05	Train	A
leaf_861	C	2022-07-05	Train	C
leaf_862	A	2022-07-05	Train	A
leaf_863	A	2022-07-05	Test	?
leaf_864	B	2022-07-05	Train	B
leaf_865	C	2022-07-05	Train	C
leaf_866	A	2022-07-05	Train	A
leaf_867	B	2022-07-05	Train	B
leaf_868	B	2022-07-05	Train	B
leaf_869	C	2022-07-05	Train	C
leaf_870	B	2022-07-05	Test	?
leaf_871	B	2022-07-05	Test	?
leaf_872	A	2022-07-05	Train	A
leaf_873	C	2022-07-05	Test	?
leaf_874	B	2022-07-05	Train	B
leaf_875	A	2022-07-05	Train	A
leaf_876	B	2022-07-05	Train	B
leaf_877	C	2022-07-05	Test	?
leaf_878	C	2022-07-04	Train	C
leaf_879	B	2022-07-04	Train	B
leaf_880	A	2022-07-04	Train	A
leaf_881	A	2022-07-04	Train	A
leaf_882	B	2022-07-04	Train	B
leaf_883	B	2022-07-04	Train	B
leaf_884	B	2022-07-04	Train	B
leaf_885	A	2022-07-04	Train	A
leaf_886	B	2022-07-04	Test	?
leaf_887	B	2022-07-04	Train	B
leaf_888	A	2022-07-04	Train	A
leaf_889	A	2022-07-04	Train	A
leaf_890	C	2022-07-04	Train	C
leaf_891	B	2022-07-04	Train	B
leaf_892	A	2022-07-04	Train	A
leaf_893	A	2022-07-04	Train	A
leaf_894	B	2022-07-04	Train	B
leaf_895	A	2022-07-04	Train	A
leaf_896	C	2022-07-04	Train	C
leaf_897	A	2022-07-04	Train	A
leaf_898	B	2022-07-04	Train	B
leaf_899	B	2022-07-04	Train	B
leaf_900	A	2022-07-04	Test	?
leaf_901	C	2022-07-04	Train	C
leaf_902	B	2022-07-04	Train	B
leaf_903	B	2022-07-04	Train	B
leaf_904	A	2022-07-04	Train	A
leaf_905	B	2022-07-03	Test	?
leaf_906	B	2022-07-03	Train	B
leaf_907	A	2022-07-03	Train	A
leaf_908	B	2022-07-03	Train	B
leaf_909	C	2022-07-03	Train	C
leaf_910	C	2022-07-03	Train	C
leaf_911	C	2022-07-03	Train	C
leaf_912	B	2022-07-03	Train	B
leaf_913	A	2022-07-03	Train	A
leaf_914	B	2022-07-03	Train	B
leaf_915	C	2022-07-03	Test	?
leaf_916	B	2022-07-03	Train	B
leaf_917	B	2022-07-03	Train	B
leaf_918	A	2022-07-03	Train	A
leaf_919	A	2022-07-03	Train	A
leaf_920	B	2022-07-03	Train	B
leaf_921	A	2022-07-03	Train	A
leaf_922	A	2022-07-03	Test	?
leaf_923	A	2022-07-03	Train	A
leaf_924	B	2022-07-03	Test	?
leaf_925	C	2022-07-03	Test	?
leaf_926	A	2022-07-03	Train	A
leaf_927	B	2022-07-03	Train	B
leaf_928	A	2022-07-03	Train	A
leaf_929	A	2022-07-03	Train	A
leaf_930	B	2022-07-03	Train	B
leaf_931	B	2022-07-03	Train	B
leaf_932	B	2022-07-03	Test	?
leaf_933	C	2022-07-03	Train	C
leaf_934	B	2022-07-03	Train	B
leaf_935	B	2022-07-02	Train	B
leaf_936	B	2022-07-02	Train	B
leaf_937	C	2022-07-02	Train	C
leaf_938	A	2022-07-02	Train	A
leaf_939	A	2022-07-02	Train	A
leaf_940	B	2022-07-02	Train	B
leaf_941	C	2022-07-02	Train	C
leaf_942	B	2022-07-02	Train	B
leaf_943	A	2022-07-02	Train	A
leaf_944	B	2022-07-02	Train	B
leaf_945	A	2022-07-02	Train	A
leaf_946	C	2022-07-02	Train	C
leaf_947	C	2022-07-02	Train	C
leaf_948	B	2022-07-02	Train	B
leaf_949	A	2022-07-02	Train	A
leaf_950	C	2022-07-02	Train	C
leaf_951	B	2022-07-02	Test	?
leaf_952	C	2022-07-02	Train	C
leaf_953	B	2022-07-02	Train	B
leaf_954	C	2022-07-02	Train	C
leaf_955	A	2022-07-02	Train	A
leaf_956	C	2022-07-02	Train	C
leaf_957	B	2022-07-02	Test	?
leaf_958	C	2022-07-02	Train	C
leaf_959	B	2022-07-02	Train	B
leaf_960	B	2022-07-02	Train	B
leaf_961	C	2022-07-02	Train	C
leaf_962	A	2022-07-02	Train	A
leaf_963	C	2022-07-02	Train	C
leaf_964	B	2022-07-02	Train	B
leaf_965	C	2022-07-02	Test	?
leaf_966	B	2022-07-02	Train	B
leaf_967	A	2022-07-02	Train	A
leaf_968	A	2022-07-02	Test	?
leaf_969	B	2022-07-02	Train	B
leaf_970	C	2022-07-02	Test	?
leaf_971	B	2022-07-02	Train	B
leaf_972	B	2022-07-02	Train	B
leaf_973	A	2022-07-02	Train	A
leaf_974	C	2022-07-02	Test	?
leaf_975	B	2022-07-02	Train	B
leaf_976	C	2022-07-02	Train	C
leaf_977	C	2022-07-02	Train	C
leaf_978	B	2022-07-02	Train	B
leaf_979	C	2022-07-01	Train	C
leaf_980	A	2022-07-01	Test	?
leaf_981	B	2022-07-01	Train	B
leaf_982	C	2022-07-01	Train	C
leaf_983	B	2022-07-01	Train	B
leaf_984	C	2022-07-01	Train	C
leaf_985	A	2022-07-01	Train	A
leaf_986	C	2022-07-01	Train	C
leaf_987	C	2022-07-01	Train	C
leaf_988	C	2022-07-01	Test	?
leaf_989	A	2022-07-01	Test	?
leaf_990	A	2022-07-01	Train	A
leaf_991	C	2022-07-01	Train	C
leaf_992	B	2022-07-01	Train	B
leaf_993	B	2022-07-01	Train	B
leaf_994	C	2022-07-01	Test	?
leaf_995	B	2022-07-01	Test	?
leaf_996	A	2022-07-01	Train	A
leaf_997	B	2022-07-01	Train	B
leaf_998	C	2022-07-01	Train	C
leaf_999	B	2022-07-01	Train	B
leaf_1000	B	2022-07-01	Train	B
leaf_1001	A	2022-07-01	Test	?
leaf_1002	A	2022-07-01	Train	A
leaf_1003	B	2022-07-01	Train	B
leaf_1004	C	2022-07-01	Test	?
leaf_1005	A	2022-07-01	Train	A
leaf_1006	C	2022-07-01	Train	C
leaf_1007	C	2022-07-01	Train	C
leaf_1008	C	2022-07-01	Train	C
leaf_1009	A	2022-07-01	Test	?
leaf_1010	A	2022-07-01	Test	?
leaf_1011	A	2022-07-01	Train	A
leaf_1012	A	2022-07-01	Test	?
leaf_1013	B	2022-07-01	Train	B
leaf_1014	A	2022-07-01	Train	A
leaf_1015	C	2022-07-01	Train	C
leaf_1016	A	2022-07-01	Test	?
leaf_1017	A	2022-07-01	Train	A
leaf_1018	A	2022-06-30	Test	?
leaf_1019	A	2022-06-30	Train	A
leaf_1020	C	2022-06-30	Train	C
leaf_1021	C	2022-06-30	Train	C
leaf_1022	C	2022-06-30	Train	C
leaf_1023	C	2022-06-30	Test	?
leaf_1024	B	2022-06-30	Train	B
leaf_1025	A	2022-06-30	Train	A
leaf_1026	C	2022-06-30	Train	C
leaf_1027	B	2022-06-30	Train	B
leaf_1028	B	2022-06-30	Train	B
leaf_1029	A	2022-06-30	Train	A
leaf_1030	A	2022-06-30	Train	A
leaf_1031	A	2022-06-30	Train	A
leaf_1032	B	2022-06-30	Train	B
leaf_1033	C	2022-06-30	Train	C
leaf_1034	A	2022-06-30	Train	A
leaf_1035	B	2022-06-30	Train	B
leaf_1036	C	2022-06-30	Train	C
leaf_1037	C	2022-06-30	Train	C
leaf_1038	B	2022-06-30	Test	?
leaf_1039	B	2022-06-30	Train	B
leaf_1040	C	2022-06-30	Train	C
leaf_1041	A	2022-06-30	Train	A
leaf_1042	A	2022-06-30	Test	?
leaf_1043	C	2022-06-30	Train	C
leaf_1044	B	2022-06-30	Test	?
leaf_1045	C	2022-06-30	Test	?
leaf_1046	B	2022-06-30	Train	B
leaf_1047	A	2022-06-30	Train	A
leaf_1048	A	2022-06-30	Train	A
leaf_1049	B	2022-06-30	Train	B
leaf_1050	C	2022-06-29	Train	C
leaf_1051	B	2022-06-29	Train	B
leaf_1052	A	2022-06-29	Train	A
leaf_1053	B	2022-06-29	Train	B
leaf_1054	A	2022-06-29	Train	A
leaf_1055	A	2022-06-29	Train	A
leaf_1056	C	2022-06-29	Train	C
leaf_1057	C	2022-06-29	Train	C
leaf_1058	B	2022-06-29	Train	B
leaf_1059	A	2022-06-29	Train	A
leaf_1060	C	2022-06-29	Train	C
leaf_1061	C	2022-06-29	Train	C
leaf_1062	C	2022-06-29	Train	C
leaf_1063	A	2022-06-29	Train	A
leaf_1064	B	2022-06-29	Train	B
leaf_1065	C	2022-06-29	Train	C
leaf_1066	B	2022-06-29	Train	B
leaf_1067	C	2022-06-29	Test	?
leaf_1068	B	2022-06-29	Train	B
leaf_1069	C	2022-06-29	Train	C
leaf_1070	B	2022-06-29	Train	B
leaf_1071	B	2022-06-29	Train	B
leaf_1072	B	2022-06-29	Train	B
leaf_1073	B	2022-06-29	Train	B
leaf_1074	B	2022-06-29	Train	B
leaf_1075	B	2022-06-29	Train	B
leaf_1076	B	2022-06-29	Test	?
leaf_1077	C	2022-06-29	Train	C
leaf_1078	B	2022-06-29	Train	B
leaf_1079	B	2022-06-28	Train	B
leaf_1080	C	2022-06-28	Train	C
leaf_1081	B	2022-06-28	Train	B
leaf_1082	B	2022-06-28	Train	B
leaf_1083	C	2022-06-28	Train	C
leaf_1084	B	2022-06-28	Test	?
leaf_1085	B	2022-06-28	Train	B
leaf_1086	B	2022-06-28	Train	B
leaf_1087	A	2022-06-28	Train	A
leaf_1088	C	2022-06-28	Train	C
leaf_1089	B	2022-06-28	Train	B
leaf_1090	B	2022-06-28	Test	?
leaf_1091	A	2022-06-28	Train	A
leaf_1092	B	2022-06-28	Train	B
leaf_1093	B	2022-06-28	Test	?
leaf_1094	C	2022-06-28	Test	?
leaf_1095	A	2022-06-28	Train	A
leaf_1096	B	2022-06-28	Test	?
leaf_1097	B	2022-06-28	Train	B
leaf_1098	A	2022-06-28	Train	A
leaf_1099	A	2022-06-28	Train	A
leaf_1100	C	2022-06-28	Train	C
leaf_1101	B	2022-06-28	Test	?
leaf_1102	C	2022-06-28	Train	C
leaf_1103	C	2022-06-28	Train	C
leaf_1104	B	2022-06-28	Train	B
leaf_1105	A	2022-06-28	Train	A
leaf_1106	A	2022-06-28	Train	A
leaf_1107	A	2022-06-28	Test	?
leaf_1108	B	2022-06-28	Train	B
leaf_1109	B	2022-06-28	Train	B
leaf_1110	C	2022-06-28	Train	C
leaf_1111	B	2022-06-28	Train	B
leaf_1112	C	2022-06-28	Test	?
leaf_1113	B	2022-06-27	Train	B
leaf_1114	C	2022-06-27	Train	C
leaf_1115	C	2022-06-27	Train	C
leaf_1116	B	2022-06-27	Test	?
leaf_1117	C	2022-06-27	Train	C
leaf_1118	C	2022-06-27	Train	C
leaf_1119	B	2022-06-27	Train	B
leaf_1120	B	2022-06-27	Train	B
leaf_1121	B	2022-06-27	Train	B
leaf_1122	C	2022-06-27	Train	C
leaf_1123	A	2022-06-27	Train	A
leaf_1124	B	2022-06-27	Train	B
leaf_1125	A	2022-06-27	Train	A
leaf_1126	A	2022-06-27	Train	A
leaf_1127	C	2022-06-27	Train	C
leaf_1128	B	2022-06-27	Train	B
leaf_1129	C	2022-06-27	Train	C
leaf_1130	A	2022-06-27	Train	A
leaf_1131	A	2022-06-27	Test	?
leaf_1132	A	2022-06-27	Train	A
leaf_1133	C	2022-06-27	Test	?
leaf_1134	B	2022-06-27	Train	B
leaf_1135	A	2022-06-27	Train	A
leaf_1136	A	2022-06-27	Train	A
leaf_1137	B	2022-06-27	Train	B
leaf_1138	A	2022-06-26	Train	A
leaf_1139	C	2022-06-26	Test	?
leaf_1140	A	2022-06-26	Train	A
leaf_1141	B	2022-06-26	Train	B
leaf_1142	C	2022-06-26	Train	C
leaf_1143	C	2022-06-26	Test	?
leaf_1144	B	2022-06-26	Train	B
leaf_1145	A	2022-06-26	Test	?
leaf_1146	C	2022-06-26	Train	C
leaf_1147	A	2022-06-26	Train	A
leaf_1148	A	2022-06-26	Train	A
leaf_1149	A	2022-06-26	Train	A
leaf_1150	C	2022-06-26	Train	C
leaf_1151	C	2022-06-26	Test	?
leaf_1152	A	2022-06-26	Test	?
leaf_1153	B	2022-06-26	Train	B
leaf_1154	A	2022-06-26	Train	A
leaf_1155	A	2022-06-26	Train	A
leaf_1156	B	2022-06-26	Train	B
leaf_1157	A	2022-06-26	Train	A
leaf_1158	C	2022-06-26	Train	C
leaf_1159	B	2022-06-26	Train	B
leaf_1160	A	2022-06-26	Train	A
leaf_1161	A	2022-06-26	Train	A
leaf_1162	C	2022-06-26	Train	C
leaf_1163	B	2022-06-26	Train	B
leaf_1164	B	2022-06-26	Train	B
leaf_1165	A	2022-06-26	Train	A
leaf_1166	B	2022-06-26	Train	B
leaf_1167	A	2022-06-26	Test	?
leaf_1168	C	2022-06-26	Train	C
leaf_1169	A	2022-06-25	Train	A
leaf_1170	A	2022-06-25	Train	A
leaf_1171	B	2022-06-25	Test	?
leaf_1172	A	2022-06-25	Train	A
leaf_1173	C	2022-06-25	Train	C
leaf_1174	B	2022-06-25	Train	B
leaf_1175	C	2022-06-25	Train	C
leaf_1176	C	2022-06-25	Train	C
leaf_1177	B	2022-06-25	Train	B
leaf_1178	B	2022-06-25	Train	B
leaf_1179	B	2022-06-25	Train	B
leaf_1180	B	2022-06-25	Train	B
leaf_1181	B	2022-06-25	Train	B
leaf_1182	B	2022-06-25	Train	B
leaf_1183	A	2022-06-25	Train	A
leaf_1184	A	2022-06-25	Train	A
leaf_1185	C	2022-06-25	Train	C
leaf_1186	B	2022-06-25	Train	B
leaf_1187	B	2022-06-25	Train	B
leaf_1188	C	2022-06-25	Test	?
leaf_1189	C	2022-06-25	Train	C
leaf_1190	C	2022-06-25	Train	C
leaf_1191	A	2022-06-25	Train	A
leaf_1192	C	2022-06-25	Train	C
leaf_1193	A	2022-06-25	Train	A
leaf_1194	C	2022-06-25	Train	C
leaf_1195	B	2022-06-25	Train	B
leaf_1196	B	2022-06-25	Train	B
leaf_1197	B	2022-06-25	Train	B
leaf_1198	C	2022-06-25	Train	C
leaf_1199	A	2022-06-25	Train	A
leaf_1200	A	2022-06-25	Train	A
leaf_1201	C	2022-06-25	Test	?
leaf_1202	B	2022-06-24	Train	B
leaf_1203	A	2022-06-24	Train	A
leaf_1204	B	2022-06-24	Train	B
leaf_1205	A	2022-06-24	Train	A
leaf_1206	A	2022-06-24	Test	?
leaf_1207	B	2022-06-24	Test	?
leaf_1208	B	2022-06-24	Train	B
leaf_1209	C	2022-06-24	Train	C
leaf_1210	C	2022-06-24	Train	C
leaf_1211	B	2022-06-24	Test	?
leaf_1212	B	2022-06-24	Train	B
leaf_1213	C	2022-06-24	Train	C
leaf_1214	C	2022-06-24	Train	C
leaf_1215	B	2022-06-24	Train	B
leaf_1216	B	2022-06-24	Train	B
leaf_1217	B	2022-06-24	Train	B
leaf_1218	A	2022-06-24	Train	A
leaf_1219	C	2022-06-24	Train	C
leaf_1220	A	2022-06-24	Train	A
leaf_1221	B	2022-06-24	Train	B
leaf_1222	A	2022-06-24	Test	?
leaf_1223	C	2022-06-24	Test	?
leaf_1224	A	2022-06-24	Train	A
leaf_1225	A	2022-06-24	Train	A
leaf_1226	C	2022-06-24	Train	C
leaf_1227	B	2022-06-24	Test	?
leaf_1228	C	2022-06-24	Train	C
leaf_1229	A	2022-06-24	Train	A
leaf_1230	A	2022-06-24	Train	A
leaf_1231	A	2022-06-24	Train	A
leaf_1232	A	2022-06-24	Train	A
leaf_1233	C	2022-06-24	Train	C
leaf_1234	B	2022-06-23	Test	?
leaf_1235	A	2022-06-23	Train	A
leaf_1236	C	2022-06-23	Test	?
leaf_1237	A	2022-06-23	Train	A
leaf_1238	A	2022-06-23	Train	A
leaf_1239	C	2022-06-23	Train	C
leaf_1240	B	2022-06-23	Train	B
leaf_1241	C	2022-06-23	Train	C
leaf_1242	A	2022-06-23	Train	A
leaf_1243	B	2022-06-23	Train	B
leaf_1244	A	2022-06-23	Test	?
leaf_1245	A	2022-06-23	Train	A
leaf_1246	A	2022-06-23	Train	A
leaf_1247	A	2022-06-23	Test	?
leaf_1248	C	2022-06-23	Test	?
leaf_1249	C	2022-06-23	Train	C
leaf_1250	B	2022-06-23	Test	?
leaf_1251	C	2022-06-23	Test	?
leaf_1252	C	2022-06-23	Train	C
leaf_1253	C	2022-06-23	Train	C
leaf_1254	B	2022-06-23	Train	B
leaf_1255	B	2022-06-23	Test	?
leaf_1256	B	2022-06-23	Train	B
leaf_1257	B	2022-06-23	Train	B
leaf_1258	C	2022-06-22	Train	C
leaf_1259	A	2022-06-22	Train	A
leaf_1260	C	2022-06-22	Train	C
leaf_1261	C	2022-06-22	Train	C
leaf_1262	C	2022-06-22	Train	C
leaf_1263	A	2022-06-22	Test	?
leaf_1264	A	2022-06-22	Train	A
leaf_1265	C	2022-06-22	Train	C
leaf_1266	B	2022-06-22	Test	?
leaf_1267	C	2022-06-22	Train	C
leaf_1268	B	2022-06-22	Train	B
leaf_1269	A	2022-06-22	Train	A
leaf_1270	C	2022-06-22	Test	?
leaf_1271	C	2022-06-22	Train	C
leaf_1272	C	2022-06-22	Test	?
leaf_1273	A	2022-06-22	Train	A
leaf_1274	B	2022-06-22	Train	B
leaf_1275	A	2022-06-22	Train	A
leaf_1276	C	2022-06-22	Train	C
leaf_1277	A	2022-06-22	Train	A
leaf_1278	B	2022-06-22	Train	B
leaf_1279	C	2022-06-22	Test	?
leaf_1280	A	2022-06-22	Train	A
leaf_1281	C	2022-06-22	Train	C
leaf_1282	B	2022-06-22	Train	B
leaf_1283	A	2022-06-22	Train	A
leaf_1284	B	2022-06-22	Train	B
leaf_1285	A	2022-06-22	Train	A
leaf_1286	C	2022-06-22	Train	C
leaf_1287	A	2022-06-22	Test	?
leaf_1288	C	2022-06-22	Train	C
leaf_1289	B	2022-06-22	Train	B
leaf_1290	C	2022-06-22	Train	C
leaf_1291	C	2022-06-22	Train	C
leaf_1292	C	2022-06-22	Train	C
leaf_1293	B	2022-06-22	Train	B
leaf_1294	A	2022-06-22	Test	?
leaf_1295	A	2022-06-22	Test	?
leaf_1296	A	2022-06-22	Train	A
leaf_1297	B	2022-06-22	Train	B
leaf_1298	A	2022-06-22	Test	?
leaf_1299	C	2022-06-22	Train	C
leaf_1300	B	2022-06-22	Train	B
leaf_1301	B	2022-06-22	Train	B
leaf_1302	B	2022-06-21	Train	B
leaf_1303	C	2022-06-21	Train	C
leaf_1304	A	2022-06-21	Train	A
leaf_1305	A	2022-06-21	Train	A
leaf_1306	A	2022-06-21	Train	A
leaf_1307	A	2022-06-21	Test	?
leaf_1308	B	2022-06-21	Train	B
leaf_1309	A	2022-06-21	Train	A
leaf_1310	C	2022-06-21	Test	?
leaf_1311	B	2022-06-21	Test	?
leaf_1312	C	2022-06-21	Test	?
leaf_1313	C	2022-06-21	Train	C
leaf_1314	B	2022-06-21	Train	B
leaf_1315	C	2022-06-21	Train	C
leaf_1316	C	2022-06-21	Train	C
leaf_1317	A	2022-06-21	Train	A
leaf_1318	C	2022-06-21	Test	?
leaf_1319	A	2022-06-21	Train	A
leaf_1320	A	2022-06-21	Train	A
leaf_1321	C	2022-06-21	Train	C
leaf_1322	A	2022-06-21	Train	A
leaf_1323	A	2022-06-21	Test	?
leaf_1324	C	2022-06-21	Train	C
leaf_1325	A	2022-06-21	Train	A
leaf_1326	C	2022-06-21	Train	C
leaf_1327	A	2022-06-21	Train	A
leaf_1328	A	2022-06-21	Train	A
leaf_1329	C	2022-06-21	Train	C
leaf_1330	A	2022-06-21	Train	A
leaf_1331	B	2022-06-21	Train	B
leaf_1332	C	2022-06-21	Train	C
leaf_1333	C	2022-06-21	Test	?
leaf_1334	C	2022-06-21	Test	?
leaf_1335	B	2022-06-20	Train	B
leaf_1336	C	2022-06-20	Train	C
leaf_1337	C	2022-06-20	Test	?
leaf_1338	C	2022-06-20	Train	C
leaf_1339	A	2022-06-20	Test	?
leaf_1340	B	2022-06-20	Train	B
leaf_1341	A	2022-06-20	Train	A
leaf_1342	A	2022-06-20	Train	A
leaf_1343	C	2022-06-20	Train	C
leaf_1344	C	2022-06-20	Train	C
leaf_1345	B	2022-06-20	Test	?
leaf_1346	C	2022-06-20	Train	C
leaf_1347	B	2022-06-20	Train	B
leaf_1348	C	2022-06-20	Test	?
leaf_1349	C	2022-06-20	Train	C
leaf_1350	B	2022-06-20	Train	B
leaf_1351	B	2022-06-20	Train	B
leaf_1352	B	2022-06-20	Test	?
leaf_1353	A	2022-06-20	Train	A
leaf_1354	B	2022-06-20	Train	B
leaf_1355	B	2022-06-20	Train	B
leaf_1356	C	2022-06-20	Train	C
leaf_1357	B	2022-06-20	Test	?
leaf_1358	C	2022-06-20	Train	C
leaf_1359	A	2022-06-19	Train	A
leaf_1360	B	2022-06-19	Train	B
leaf_1361	A	2022-06-19	Train	A
leaf_1362	C	2022-06-19	Train	C
leaf_1363	A	2022-06-19	Test	?
leaf_1364	B	2022-06-19	Test	?
leaf_1365	A	2022-06-19	Train	A
leaf_1366	B	2022-06-19	Train	B
leaf_1367	B	2022-06-19	Test	?
leaf_1368	B	2022-06-19	Test	?
leaf_1369	B	2022-06-19	Train	B
leaf_1370	C	2022-06-19	Train	C
leaf_1371	A	2022-06-19	Train	A
leaf_1372	C	2022-06-19	Train	C
leaf_1373	A	2022-06-19	Test	?
leaf_1374	B	2022-06-19	Train	B
leaf_1375	B	2022-06-19	Train	B
leaf_1376	C	2022-06-19	Train	C
leaf_1377	A	2022-06-19	Train	A
